LOR-Schlüssel (Bezirksregion);Bezeichnung (Bezirksregion);Straftaten-insgesamt;Raub;Straßenraub, Handtaschenraub;Körperverletzungen-insgesamt;Gefährl und schwere Körperverletzung;Freiheitsberaubung, Nötigung, Bedrohung, Nachstellung;Diebstahl-insgesamt;Diebstahl von Kraftwagen;Diebstahl an/aus Kfz;Fahrraddiebstahl;Wohnraumeinbruch;Branddelikte-insgesamt;Brandstiftung;Sachbeschädigung-insgesamt;Sachbeschädigung durch Graffiti;Rauschgiftdelikte;Kieztaten
032002;Blankenfelde/Niederschönhausen;1640;12;6;98;26;62;705;25;84;133;45;19;6;206;23;28;336
032003;Buchholz;835;5;0;77;12;34;346;12;52;56;35;4;2;107;12;10;185
033004;Karow;906;4;4;71;16;34;413;5;31;129;35;7;2;97;11;14;168
033005;Blankenburg/Heinersdorf/Märchenland;1454;10;3;110;31;44;599;18;64;84;49;10;5;139;35;16;221
034006;Schönholz/Wilhelmsruh/Rosenthal;1085;7;3;93;25;51;482;24;78;79;52;16;2;141;30;23;209
034007;Pankow Zentrum;3261;27;21;240;57;114;1617;37;129;411;38;21;5;365;90;38;775
034008;Pankow Süd;2500;26;19;194;45;94;1160;26;173;336;33;17;7;299;80;52;537
035009;Weißensee;3077;18;11;307;83;160;1380;28;215;220;34;21;9;403;113;75;818
035010;Weißensee Ost;1377;8;2;157;34;79;567;11;136;82;22;15;7;139;23;42;386
036011;Prenzlauer Berg Nordwest;3288;57;41;318;111;106;1630;26;162;390;25;17;7;344;125;181;885
036012;Prenzlauer Berg Nord;2515;10;7;152;37;95;1420;21;184;427;21;9;6;255;80;65;549
036013;Helmholtzplatz;2368;13;7;185;46;58;1129;5;84;360;33;10;5;328;132;81;526
036014;Prenzlauer Berg Ost;4113;54;35;355;108;112;1970;34;283;287;31;30;13;492;179;99;780
037015;Prenzlauer Berg Südwest;3061;34;27;258;69;80;1519;22;154;311;32;12;7;372;114;88;730
037016;Prenzlauer Berg Süd;2519;18;11;191;53;73;1186;30;197;352;35;9;4;363;127;58;664
039900;Bezirk (Pk), nicht zuzuordnen;946;15;14;92;27;42;475;19;112;108;2;12;2;91;12;16;189
041001;Charlottenburg Nord;2524;12;8;272;57;149;711;30;272;63;44;30;9;227;32;327;569
042002;Heerstraße;1195;11;8;113;32;35;442;33;128;46;52;14;9;194;70;21;265
042003;Westend;3144;23;10;205;42;148;1453;46;337;238;71;13;6;272;40;53;629
043004;Schloss Charlottenburg;4886;49;30;364;81;205;1881;71;394;440;59;17;7;592;161;119;1108
043005;Mierendorffplatz;1812;13;12;140;35;61;710;24;172;127;19;12;8;161;29;53;368
043006;Otto-Suhr-Allee/Kantstraße;7880;64;35;630;155;269;3703;53;499;501;96;39;14;610;123;167;1667
044007;Grunewald;1919;6;5;135;23;97;787;35;267;102;73;13;5;262;77;24;515
044008;Schmargendorf;2464;13;9;176;44;114;1088;50;193;180;76;19;8;282;41;51;592
