a;b;c;d;gesamt;unter6;6-15;15-18;18-27;27-45;45-55;55-65;65undmehr;weiblich;Ausländer
03;70;15;54;11385;693;1024;295;1121;4303;2212;1168;569;5587;2883
03;70;15;55;7260;454;602;212;626;2679;1361;853;473;3626;1564
03;70;15;56;8636;681;763;232;670;3249;1496;921;624;4267;2356
03;70;16;57;3216;200;247;74;238;1027;398;390;642;1604;753
03;70;16;58;8395;529;763;214;779;3324;1514;827;445;4220;1861
03;70;16;59;9086;605;825;234;779;3361;1621;872;789;4593;2014
03;70;16;60;12708;787;1252;432;1039;4283;2478;1447;990;6391;2270
04;10;01;01;11396;638;820;234;1219;3025;1430;1534;2496;5732;3469
04;10;01;02;7755;513;805;220;736;1800;1017;1012;1652;4109;2186
04;20;02;03;1455;59;128;46;139;264;178;227;414;742;190
04;20;02;04;2841;130;161;53;154;556;241;338;1208;1512;617
04;20;02;05;2477;83;186;66;182;495;399;424;642;1294;420
04;20;02;06;2846;125;281;113;242;393;396;485;811;1459;356
04;20;02;07;3010;110;257;78;674;488;321;396;686;1491;781
04;20;03;08;6141;311;422;129;638;1353;715;891;1682;3178;1382
04;20;03;09;6784;298;419;135;630;1480;844;948;2030;3608;923
04;20;03;10;7618;322;515;184;748;1538;1023;1019;2269;4027;1536
04;20;03;11;7237;336;427;129;865;2057;832;1029;1562;3726;1709
04;30;04;12;3687;193;183;36;467;1278;356;368;806;1816;1417
04;30;04;13;10011;572;788;267;1136;2698;1373;1430;1747;5230;2480
04;30;04;14;10520;522;685;227;1064;2929;1376;1537;2180;5483;2255
04;30;04;15;6267;284;333;107;551;1578;739;936;1739;3358;1354
04;30;04;16;11650;561;714;245;1289;3320;1501;1730;2290;5920;2719
04;30;05;17;9436;461;528;148;1076;3007;1186;1445;1585;4798;2627
04;30;05;18;5717;290;346;113;630;1965;691;789;893;2839;1483
04;30;06;19;8583;413;490;161;826;2449;1080;1205;1959;4459;2164
04;30;06;20;3397;177;202;55;453;1361;414;377;358;1604;1234
04;30;06;21;10501;552;616;170;1030;3132;1343;1435;2223;5409;2851
04;30;06;22;5150;299;342;87;545;1748;583;602;944;2663;1663
04;30;06;23;11938;548;680;234;1522;3690;1541;1573;2150;5840;4127
04;30;06;24;9175;406;445;159;1026;2602;1213;1392;1932;4660;2569
04;40;07;25;107;3;–;–;12;46;25;9;12;40;65
04;40;07;26;5298;277;494;158;386;1037;710;707;1529;2715;1209
04;40;07;27;8251;400;554;148;760;2055;1093;1217;2024;4393;1774
04;40;07;28;3066;167;242;70;190;577;415;439;966;1638;587
04;40;07;29;2832;147;205;78;224;432;365;430;951;1502;566
04;40;08;30;7100;426;607;204;570;1665;846;918;1864;3791;1464
04;40;08;31;1510;51;137;42;115;192;216;221;536;808;205
04;40;08;32;6813;307;462;138;540;1207;972;1071;2116;3771;857
04;40;08;33;4119;186;252;62;265;824;442;638;1450;2189;790
04;40;08;34;3512;150;236;61;317;783;431;556;978;1853;581
04;40;08;35;10341;474;709;245;889;2228;1407;1670;2719;5612;1596
04;50;09;36;5499;262;346;107;562;1390;743;802;1287;2828;1413
04;50;09;37;7503;328;396;131;676;1994;982;1155;1841;3845;1801
04;50;09;38;7894;411;498;126;683;2217;983;1091;1885;4071;2094
04;50;09;39;6461;352;425;143;634;1793;825;940;1349;3373;1603
04;50;10;40;5865;272;344;130;506;1547;785;950;1331;3022;1465
04;50;10;41;5175;223;292;99;384;1182;759;883;1353;2628;1250
04;50;10;42;3492;158;233;79;324;951;500;477;770;1697;1264
04;50;10;43;10890;509;710;202;957;2901;1332;1622;2657;5578;2766
04;50;10;44;5224;253;317;92;497;1311;616;749;1389;2725;1308
04;50;10;45;9019;368;497;147;780;2379;1243;1345;2260;4561;2603
04;50;11;46;4456;287;285;79;481;1292;546;615;871;2282;1094
04;50;11;47;5471;273;386;125;607;1531;704;802;1043;2790;1361
04;50;11;48;4291;234;335;86;450;1177;533;609;867;2202;1029
04;50;11;49;9732;482;633;213;905;2466;1219;1440;2374;5085;2311
04;50;11;50;3038;112;167;49;270;816;368;419;837;1615;689
04;50;11;51;7338;342;528;167;753;2001;980;1046;1521;3792;1323
04;50;11;52;6756;248;411;120;640;1709;914;967;1747;3402;1734
04;50;11;53;7353;401;509;162;739;2258;901;972;1411;3667;1840
05;10;01;01;4126;285;337;102;311;878;462;625;1126;2221;312
05;10;01;02;4264;207;265;80;362;844;477;686;1343;2297;594
05;10;01;03;5922;592;509;101;640;1968;623;629;860;2974;1718
05;10;01;04;4955;333;506;136;409;1306;580;591;1094;2580;1078
05;10;01;05;7511;338;493;184;638;1650;928;1283;1997;3859;722
05;10;02;06;3552;220;433;150;339;711;361;457;881;1894;871
05;10;02;07;2298;104;134;55;252;500;299;502;452;1190;252
05;10;02;08;10744;755;1043;329;1001;2505;1222;1345;2544;5514;2799
05;10;02;09;11756;750;1189;366;1194;2788;1389;1599;2481;6133;2882
05;10;02;10;7666;455;613;142;785;2164;995;1113;1399;3961;1855
05;10;02;11;6015;290;452;168;514;1206;803;983;1599;3036;997
05;10;03;12;4030;232;326;79;531;1141;506;539;676;2032;1119
05;10;03;13;6134;403;610;201;583;1453;677;655;1552;3222;1797
05;10;03;14;7362;538;728;225;926;2319;897;865;864;3440;3267
05;10;03;15;6878;468;572;171;863;2030;843;952;979;3336;2074
05;10;03;16;10259;645;775;251;1123;2971;1323;1451;1720;5233;2413
05;10;03;17;3575;241;355;104;390;1018;440;432;595;1730;1319
05;20;04;18;3824;159;341;133;372;635;590;922;672;1894;262
05;20;04;19;1664;70;100;33;127;332;192;301;509;868;21
05;20;04;20;5770;272;439;153;546;1082;753;1067;1458;2893;871
05;20;04;21;4295;284;416;133;440;1028;528;480;986;2176;756
05;20;04;22;1095;76;115;25;151;284;155;178;111;534;104
05;20;04;23;6583;444;599;165;573;1543;675;836;1748;3548;1303
05;20;05;24;3319;179;371;135;340;720;513;522;539;1706;377
05;20;05;25;2414;151;207;45;144;576;344;385;562;1254;222
05;20;05;26;5644;413;741;206;575;1407;643;621;1038;2847;2224
05;20;05;27;11602;1005;1673;510;1285;2623;1340;1242;1924;5997;4093
05;20;05;28;7009;358;459;155;584;1337;760;1159;2197;3637;951
05;20;06;29;8167;506;538;160;922;2244;948;987;1862;4144;2118
05;20;06;30;9771;558;740;228;1040;2710;1305;1377;1813;4945;2342
05;20;06;31;8435;459;577;180;930;2464;1053;1258;1514;4220;2120
05;20;06;32;3673;217;403;115;362;873;470;530;703;1826;1083
05;20;06;33;2006;104;167;52;133;356;228;282;684;1117;258
05;20;06;34;4402;164;222;94;284;621;517;726;1774;2280;382
05;30;07;35;2912;319;282;86;484;979;351;244;167;1426;658
05;30;07;36;3651;317;514;159;352;973;505;423;408;1846;861
05;30;07;37;11550;714;833;237;1087;3018;1363;1664;2634;6028;2654
05;30;08;38;33;–;–;–;3;9;12;9;–;6;15
05;30;08;39;7595;432;721;255;823;1880;1035;1041;1408;3754;2270
05;30;08;40;466;22;29;12;34;137;59;68;105;236;120
05;30;08;41;4543;274;320;102;564;1452;506;555;770;2202;1259
05;40;09;42;3685;141;310;123;300;544;480;649;1138;1843;329
05;40;09;43;10400;659;1243;381;715;1891;1634;1552;2325;5285;640
05;40;09;44;2180;89;184;70;139;275;257;390;776;1124;149
05;40;09;45;3661;180;339;110;242;558;427;590;1215;1883;233
06;10;01;01;6858;279;462;193;653;1301;874;1017;2079;3700;937
06;10;01;02;8843;534;684;142;830;2523;1131;1265;1734;4617;1771
06;10;01;03;6168;349;423;128;590;1753;867;882;1176;3319;1000
06;10;02;04;6838;333;449;173;719;1713;886;1007;1558;3564;1280
06;10;02;05;9869;553;715;211;990;2688;1255;1483;1974;5194;1738
06;10;02;06;7686;379;523;172;745;1876;966;1101;1924;4109;1254
06;10;02;07;7876;452;490;149;783;2156;978;1086;1782;4148;1411
06;10;02;08;6816;363;481;115;693;1910;820;1008;1426;3480;1143
06;10;02;09;9241;516;598;162;874;2739;1187;1259;1906;4967;1804
06;10;02;10;4865;257;369;79;441;1344;624;743;1008;2576;798
06;20;03;11;4907;237;367;111;385;995;626;701;1485;2613;569
06;20;03;12;6092;337;445;147;532;1299;728;844;1760;3121;1159
06;20;03;13;7380;411;527;123;648;2082;897;1085;1607;3933;1307
06;20;03;14;7207;423;499;140;633;1902;969;1039;1602;3772;1138
06;20;03;15;5953;319;530;131;475;1335;778;897;1488;3160;950
06;20;03;16;5328;294;387;158;624;1253;593;680;1339;2854;1219
06;20;03;17;6360;340;467;163;515;1131;880;1081;1783;3297;621
06;20;04;18;3;–;–;–;–;–;3;–;–;–;3
06;20;04;19;4594;229;408;112;478;1129;465;554;1219;2314;1221
06;20;04;20;7138;376;558;181;587;1506;919;1080;1931;3736;1153
06;20;04;21;8309;425;608;219;713;1603;1053;1180;2508;4423;1281
06;20;04;22;7084;361;549;192;639;1350;947;1053;1993;3766;926
06;20;04;23;8576;445;811;246;673;1517;1088;1301;2495;4584;1145
06;30;05;24;5702;210;502;184;557;924;735;846;1744;2914;877
06;30;05;25;5654;299;421;123;492;1255;780;865;1419;3127;780
06;30;05;26;3317;193;306;100;306;674;456;517;765;1698;580
06;30;05;27;8337;383;570;164;781;1859;1040;1336;2204;4508;1217
06;30;05;28;10997;433;975;360;791;1717;1475;1614;3632;5922;1238
06;30;06;29;7054;313;496;166;656;1681;965;1028;1749;3685;1068
06;30;06;30;5630;319;450;160;647;1389;707;810;1148;2892;1425
06;30;06;31;2969;126;254;79;464;657;410;375;604;1503;716
06;30;06;32;13824;736;1445;463;1202;2728;2129;2047;3074;7009;1870
06;30;06;33;11981;574;976;338;1037;2543;1577;1905;3031;6244;1683
06;30;06;34;8451;410;772;290;687;1456;1189;1263;2384;4529;1068
06;40;07;35;10122;471;1011;277;695;1587;1492;1579;3010;5167;1287
06;40;07;36;5237;272;532;187;401;813;751;789;1492;2742;465
06;40;07;37;11237;441;986;333;1475;2007;1340;1543;3112;5756;2290
06;40;08;38;7413;360;612;215;557;1023;966;1276;2404;3928;665
06;40;08;39;5209;206;443;158;417;809;711;848;1617;2832;570
06;40;08;40;7170;277;600;247;626;1063;1035;1193;2129;3911;589
06;40;08;41;6001;287;451;186;495;1095;708;792;1987;3374;754
06;40;08;42;4808;315;596;193;396;950;867;663;828;2482;714
06;40;08;43;4797;211;444;186;450;706;695;813;1292;2512;831
06;40;08;44;7234;343;674;251;661;1293;984;974;2054;3772;1269
07;10;01;01;9719;413;535;155;748;2572;1406;1492;2398;4641;2685
07;10;01;02;8477;424;543;177;933;2419;1168;1247;1566;3854;2825
07;10;01;03;7675;405;562;233;844;2169;1119;1139;1204;3620;2751
07;10;02;04;10410;543;654;219;1019;3114;1404;1586;1871;5167;2476
07;10;02;05;5154;242;426;160;553;1533;712;693;835;2496;1955
07;10;02;06;8304;522;558;171;859;2707;1188;1262;1037;3978;2463
07;20;03;07;10501;497;634;208;968;2740;1448;1614;2392;5353;2064
07;20;03;08;10436;636;734;212;1080;3499;1322;1278;1675;5124;2879
07;20;04;09;9251;481;603;179;869;2783;1321;1507;1508;4702;1971
07;20;04;10;5619;369;439;144;683;1893;659;655;777;2750;1759
07;20;04;11;2763;161;174;62;281;916;369;432;368;1362;697
07;20;04;12;1706;160;107;24;365;792;112;89;57;841;645
07;20;04;13;7753;441;513;145;731;2781;1046;1203;893;3909;1570
07;20;04;14;3723;224;299;47;400;1342;506;494;411;1877;816
